Extenuating combination,# of censored keyword combinations it extenuates,Censored keyword combinations it extenuates
suo.im/,97,"兵变+北京出事, 我们要公义+保障私有产权, 中南海+政变, 集会抗议中心, 支持维吾尔人+抗议, 打压维吾尔人, 康师傅+全国政法, 结束一党执政, 新疆人都是小偷, 我的东突+你的西域, 天赋人权+勿忘六四, 肖合来提+自由亚洲电台, 倒行逆施+修宪, 全民直选国家领导人, 今天大新闻, 千古一帝+习近平, 还我薄书记+还我共同富路, 开放报禁+新闻自由, 新疆维族人+畜生, 登基+习近平, 皇帝+习近平, 兵变+中南海, 称帝+习近平, 厚天下+熙来, 马化腾+人渣, 婊子+马化腾, 习包子+登基, 习包子+终身执政, 伊扎布特+安拉, 自由万岁+新闻自由, 新疆人+统统杀光, 新疆人民+发起圣战, 周永康+江派, 维语部+自由亚洲电台, 习主席+辞职+提出, 玉皇大帝+习近平, 杀贪官平民怨, 复辟+习包子, 二七路百货大楼前+郑州, 一党专制, 被软禁+康师傅, 修宪+皇帝梦, 世界维吾尔, 提出+辞职+习总书记, 洗脑+维吾尔人, 薄熙来政治遗嘱, 新疆+种族灭绝, 周永康警变, 黄奇帆+倒戈, 暗杀+血债帮, 打到中共专制, 黑大爷+异教徒, 彭丽嫒+敛财, 乳透社, 为东突的解放事业做出贡献, 独裁+习近平, 法轮大法, 复辟+习近平, 追求民主自由+集会, 自由万岁+民主万岁, 贪污+彭丽嫒, 怨四的前运会, 暗杀+习近平, 维吾尔人失踪, 刑不上常委+王岐山, 康师傅+天线宝宝, 周永康+血债派, 维护司法独立, 称帝+修宪, 袁世凯+习包子, 薄熙来+一路走好, 终身执政+习近平, 习包子+独裁, 低劣种族+新疆, 杀人不眨眼+维族人, 袁世凯+习近平, 终身制+习近平, 内讧+中南海, 习近平+恢复帝制, 江泽民其人, 中共下台, 实行多党选举, 晓波值得我们的支持, 诛温贼+挺熙来, 卸磨杀驴+薄熙来, 德满江+薄情, 维吾尔民族独立事业, 新疆人团结起来+弄灭北京, 撸一串儿, 修宪+黄袍加身, 习包子+称帝, 习包子+恢复帝制, 终身执政+修宪, 千古一帝+习包子, 墙国蛙蛤蛤, 内奸公贼+习近平, 自焚+活摘"
uee.me,97,"兵变+北京出事, 我们要公义+保障私有产权, 中南海+政变, 集会抗议中心, 支持维吾尔人+抗议, 打压维吾尔人, 康师傅+全国政法, 结束一党执政, 新疆人都是小偷, 我的东突+你的西域, 天赋人权+勿忘六四, 肖合来提+自由亚洲电台, 倒行逆施+修宪, 全民直选国家领导人, 今天大新闻, 千古一帝+习近平, 还我薄书记+还我共同富路, 开放报禁+新闻自由, 新疆维族人+畜生, 登基+习近平, 皇帝+习近平, 兵变+中南海, 称帝+习近平, 厚天下+熙来, 马化腾+人渣, 婊子+马化腾, 习包子+登基, 习包子+终身执政, 伊扎布特+安拉, 自由万岁+新闻自由, 新疆人+统统杀光, 新疆人民+发起圣战, 周永康+江派, 维语部+自由亚洲电台, 习主席+辞职+提出, 玉皇大帝+习近平, 杀贪官平民怨, 复辟+习包子, 二七路百货大楼前+郑州, 一党专制, 被软禁+康师傅, 修宪+皇帝梦, 世界维吾尔, 提出+辞职+习总书记, 洗脑+维吾尔人, 薄熙来政治遗嘱, 新疆+种族灭绝, 周永康警变, 黄奇帆+倒戈, 暗杀+血债帮, 打到中共专制, 黑大爷+异教徒, 彭丽嫒+敛财, 乳透社, 为东突的解放事业做出贡献, 独裁+习近平, 法轮大法, 复辟+习近平, 追求民主自由+集会, 自由万岁+民主万岁, 贪污+彭丽嫒, 怨四的前运会, 暗杀+习近平, 维吾尔人失踪, 刑不上常委+王岐山, 康师傅+天线宝宝, 周永康+血债派, 维护司法独立, 称帝+修宪, 袁世凯+习包子, 薄熙来+一路走好, 终身执政+习近平, 习包子+独裁, 低劣种族+新疆, 杀人不眨眼+维族人, 袁世凯+习近平, 终身制+习近平, 内讧+中南海, 习近平+恢复帝制, 江泽民其人, 中共下台, 实行多党选举, 晓波值得我们的支持, 诛温贼+挺熙来, 卸磨杀驴+薄熙来, 德满江+薄情, 维吾尔民族独立事业, 新疆人团结起来+弄灭北京, 撸一串儿, 修宪+黄袍加身, 习包子+称帝, 习包子+恢复帝制, 终身执政+修宪, 千古一帝+习包子, 墙国蛙蛤蛤, 内奸公贼+习近平, 自焚+活摘"
一个光明的民主中国,97,"兵变+北京出事, 我们要公义+保障私有产权, 中南海+政变, 集会抗议中心, 支持维吾尔人+抗议, 打压维吾尔人, 康师傅+全国政法, 结束一党执政, 新疆人都是小偷, 我的东突+你的西域, 天赋人权+勿忘六四, 肖合来提+自由亚洲电台, 倒行逆施+修宪, 全民直选国家领导人, 今天大新闻, 千古一帝+习近平, 还我薄书记+还我共同富路, 开放报禁+新闻自由, 新疆维族人+畜生, 登基+习近平, 皇帝+习近平, 兵变+中南海, 称帝+习近平, 厚天下+熙来, 马化腾+人渣, 婊子+马化腾, 习包子+登基, 习包子+终身执政, 伊扎布特+安拉, 自由万岁+新闻自由, 新疆人+统统杀光, 新疆人民+发起圣战, 周永康+江派, 维语部+自由亚洲电台, 习主席+辞职+提出, 玉皇大帝+习近平, 杀贪官平民怨, 复辟+习包子, 二七路百货大楼前+郑州, 一党专制, 被软禁+康师傅, 修宪+皇帝梦, 世界维吾尔, 提出+辞职+习总书记, 洗脑+维吾尔人, 薄熙来政治遗嘱, 新疆+种族灭绝, 周永康警变, 黄奇帆+倒戈, 暗杀+血债帮, 打到中共专制, 黑大爷+异教徒, 彭丽嫒+敛财, 乳透社, 为东突的解放事业做出贡献, 独裁+习近平, 法轮大法, 复辟+习近平, 追求民主自由+集会, 自由万岁+民主万岁, 贪污+彭丽嫒, 怨四的前运会, 暗杀+习近平, 维吾尔人失踪, 刑不上常委+王岐山, 康师傅+天线宝宝, 周永康+血债派, 维护司法独立, 称帝+修宪, 袁世凯+习包子, 薄熙来+一路走好, 终身执政+习近平, 习包子+独裁, 低劣种族+新疆, 杀人不眨眼+维族人, 袁世凯+习近平, 终身制+习近平, 内讧+中南海, 习近平+恢复帝制, 江泽民其人, 中共下台, 实行多党选举, 晓波值得我们的支持, 诛温贼+挺熙来, 卸磨杀驴+薄熙来, 德满江+薄情, 维吾尔民族独立事业, 新疆人团结起来+弄灭北京, 撸一串儿, 修宪+黄袍加身, 习包子+称帝, 习包子+恢复帝制, 终身执政+修宪, 千古一帝+习包子, 墙国蛙蛤蛤, 内奸公贼+习近平, 自焚+活摘"
中共两会后,97,"兵变+北京出事, 我们要公义+保障私有产权, 中南海+政变, 集会抗议中心, 支持维吾尔人+抗议, 打压维吾尔人, 康师傅+全国政法, 结束一党执政, 新疆人都是小偷, 我的东突+你的西域, 天赋人权+勿忘六四, 肖合来提+自由亚洲电台, 倒行逆施+修宪, 全民直选国家领导人, 今天大新闻, 千古一帝+习近平, 还我薄书记+还我共同富路, 开放报禁+新闻自由, 新疆维族人+畜生, 登基+习近平, 皇帝+习近平, 兵变+中南海, 称帝+习近平, 厚天下+熙来, 马化腾+人渣, 婊子+马化腾, 习包子+登基, 习包子+终身执政, 伊扎布特+安拉, 自由万岁+新闻自由, 新疆人+统统杀光, 新疆人民+发起圣战, 周永康+江派, 维语部+自由亚洲电台, 习主席+辞职+提出, 玉皇大帝+习近平, 杀贪官平民怨, 复辟+习包子, 二七路百货大楼前+郑州, 一党专制, 被软禁+康师傅, 修宪+皇帝梦, 世界维吾尔, 提出+辞职+习总书记, 洗脑+维吾尔人, 薄熙来政治遗嘱, 新疆+种族灭绝, 周永康警变, 黄奇帆+倒戈, 暗杀+血债帮, 打到中共专制, 黑大爷+异教徒, 彭丽嫒+敛财, 乳透社, 为东突的解放事业做出贡献, 独裁+习近平, 法轮大法, 复辟+习近平, 追求民主自由+集会, 自由万岁+民主万岁, 贪污+彭丽嫒, 怨四的前运会, 暗杀+习近平, 维吾尔人失踪, 刑不上常委+王岐山, 康师傅+天线宝宝, 周永康+血债派, 维护司法独立, 称帝+修宪, 袁世凯+习包子, 薄熙来+一路走好, 终身执政+习近平, 习包子+独裁, 低劣种族+新疆, 杀人不眨眼+维族人, 袁世凯+习近平, 终身制+习近平, 内讧+中南海, 习近平+恢复帝制, 江泽民其人, 中共下台, 实行多党选举, 晓波值得我们的支持, 诛温贼+挺熙来, 卸磨杀驴+薄熙来, 德满江+薄情, 维吾尔民族独立事业, 新疆人团结起来+弄灭北京, 撸一串儿, 修宪+黄袍加身, 习包子+称帝, 习包子+恢复帝制, 终身执政+修宪, 千古一帝+习包子, 墙国蛙蛤蛤, 内奸公贼+习近平, 自焚+活摘"
群发机,97,"兵变+北京出事, 我们要公义+保障私有产权, 中南海+政变, 集会抗议中心, 支持维吾尔人+抗议, 打压维吾尔人, 康师傅+全国政法, 结束一党执政, 新疆人都是小偷, 我的东突+你的西域, 天赋人权+勿忘六四, 肖合来提+自由亚洲电台, 倒行逆施+修宪, 全民直选国家领导人, 今天大新闻, 千古一帝+习近平, 还我薄书记+还我共同富路, 开放报禁+新闻自由, 新疆维族人+畜生, 登基+习近平, 皇帝+习近平, 兵变+中南海, 称帝+习近平, 厚天下+熙来, 马化腾+人渣, 婊子+马化腾, 习包子+登基, 习包子+终身执政, 伊扎布特+安拉, 自由万岁+新闻自由, 新疆人+统统杀光, 新疆人民+发起圣战, 周永康+江派, 维语部+自由亚洲电台, 习主席+辞职+提出, 玉皇大帝+习近平, 杀贪官平民怨, 复辟+习包子, 二七路百货大楼前+郑州, 一党专制, 被软禁+康师傅, 修宪+皇帝梦, 世界维吾尔, 提出+辞职+习总书记, 洗脑+维吾尔人, 薄熙来政治遗嘱, 新疆+种族灭绝, 周永康警变, 黄奇帆+倒戈, 暗杀+血债帮, 打到中共专制, 黑大爷+异教徒, 彭丽嫒+敛财, 乳透社, 为东突的解放事业做出贡献, 独裁+习近平, 法轮大法, 复辟+习近平, 追求民主自由+集会, 自由万岁+民主万岁, 贪污+彭丽嫒, 怨四的前运会, 暗杀+习近平, 维吾尔人失踪, 刑不上常委+王岐山, 康师傅+天线宝宝, 周永康+血债派, 维护司法独立, 称帝+修宪, 袁世凯+习包子, 薄熙来+一路走好, 终身执政+习近平, 习包子+独裁, 低劣种族+新疆, 杀人不眨眼+维族人, 袁世凯+习近平, 终身制+习近平, 内讧+中南海, 习近平+恢复帝制, 江泽民其人, 中共下台, 实行多党选举, 晓波值得我们的支持, 诛温贼+挺熙来, 卸磨杀驴+薄熙来, 德满江+薄情, 维吾尔民族独立事业, 新疆人团结起来+弄灭北京, 撸一串儿, 修宪+黄袍加身, 习包子+称帝, 习包子+恢复帝制, 终身执政+修宪, 千古一帝+习包子, 墙国蛙蛤蛤, 内奸公贼+习近平, 自焚+活摘"
人民广场和平影都,98,"兵变+北京出事, 我们要公义+保障私有产权, 中南海+政变, 集会抗议中心, 支持维吾尔人+抗议, 打压维吾尔人, 康师傅+全国政法, 结束一党执政, 新疆人都是小偷, 我的东突+你的西域, 天赋人权+勿忘六四, 肖合来提+自由亚洲电台, 倒行逆施+修宪, 全民直选国家领导人, 今天大新闻, 千古一帝+习近平, 还我薄书记+还我共同富路, 开放报禁+新闻自由, 新疆维族人+畜生, 登基+习近平, 皇帝+习近平, 兵变+中南海, 称帝+习近平, 厚天下+熙来, 马化腾+人渣, 婊子+马化腾, 习包子+登基, 习包子+终身执政, 伊扎布特+安拉, 自由万岁+新闻自由, 新疆人+统统杀光, 新疆人民+发起圣战, 周永康+江派, 维语部+自由亚洲电台, 习主席+辞职+提出, 玉皇大帝+习近平, 杀贪官平民怨, 复辟+习包子, 二七路百货大楼前+郑州, 一党专制, 被软禁+康师傅, 修宪+皇帝梦, 世界维吾尔, 提出+辞职+习总书记, 洗脑+维吾尔人, 薄熙来政治遗嘱, 新疆+种族灭绝, 周永康警变, 黄奇帆+倒戈, 暗杀+血债帮, 打到中共专制, 黑大爷+异教徒, 彭丽嫒+敛财, 乳透社, 为东突的解放事业做出贡献, 独裁+习近平, 法轮大法, 复辟+习近平, 追求民主自由+集会, 自由万岁+民主万岁, 贪污+彭丽嫒, 怨四的前运会, 暗杀+习近平, 维吾尔人失踪, 刑不上常委+王岐山, 康师傅+天线宝宝, 周永康+血债派, 维护司法独立, 称帝+修宪, 袁世凯+习包子, 薄熙来+一路走好, 终身执政+习近平, 习包子+独裁, 低劣种族+新疆, 杀人不眨眼+维族人, 袁世凯+习近平, 终身制+习近平, 内讧+中南海, 习近平+恢复帝制, 江泽民其人, 中共下台, 实行多党选举, 晓波值得我们的支持, 诛温贼+挺熙来, 致圣战战士, 卸磨杀驴+薄熙来, 德满江+薄情, 维吾尔民族独立事业, 新疆人团结起来+弄灭北京, 撸一串儿, 修宪+黄袍加身, 习包子+称帝, 习包子+恢复帝制, 终身执政+修宪, 千古一帝+习包子, 墙国蛙蛤蛤, 内奸公贼+习近平, 自焚+活摘"
公海堵船,98,"兵变+北京出事, 我们要公义+保障私有产权, 中南海+政变, 集会抗议中心, 支持维吾尔人+抗议, 打压维吾尔人, 康师傅+全国政法, 结束一党执政, 新疆人都是小偷, 我的东突+你的西域, 天赋人权+勿忘六四, 肖合来提+自由亚洲电台, 倒行逆施+修宪, 全民直选国家领导人, 今天大新闻, 千古一帝+习近平, 还我薄书记+还我共同富路, 开放报禁+新闻自由, 新疆维族人+畜生, 登基+习近平, 皇帝+习近平, 兵变+中南海, 称帝+习近平, 厚天下+熙来, 马化腾+人渣, 婊子+马化腾, 习包子+登基, 习包子+终身执政, 伊扎布特+安拉, 自由万岁+新闻自由, 新疆人+统统杀光, 新疆人民+发起圣战, 周永康+江派, 维语部+自由亚洲电台, 习主席+辞职+提出, 玉皇大帝+习近平, 杀贪官平民怨, 复辟+习包子, 二七路百货大楼前+郑州, 一党专制, 被软禁+康师傅, 修宪+皇帝梦, 世界维吾尔, 提出+辞职+习总书记, 洗脑+维吾尔人, 薄熙来政治遗嘱, 新疆+种族灭绝, 周永康警变, 黄奇帆+倒戈, 暗杀+血债帮, 打到中共专制, 黑大爷+异教徒, 彭丽嫒+敛财, 乳透社, 为东突的解放事业做出贡献, 独裁+习近平, 法轮大法, 复辟+习近平, 追求民主自由+集会, 自由万岁+民主万岁, 贪污+彭丽嫒, 怨四的前运会, 暗杀+习近平, 维吾尔人失踪, 刑不上常委+王岐山, 康师傅+天线宝宝, 周永康+血债派, 维护司法独立, 称帝+修宪, 袁世凯+习包子, 薄熙来+一路走好, 终身执政+习近平, 习包子+独裁, 低劣种族+新疆, 杀人不眨眼+维族人, 袁世凯+习近平, 终身制+习近平, 内讧+中南海, 习近平+恢复帝制, 江泽民其人, 中共下台, 实行多党选举, 晓波值得我们的支持, 诛温贼+挺熙来, 致圣战战士, 卸磨杀驴+薄熙来, 德满江+薄情, 维吾尔民族独立事业, 新疆人团结起来+弄灭北京, 撸一串儿, 修宪+黄袍加身, 习包子+称帝, 习包子+恢复帝制, 终身执政+修宪, 千古一帝+习包子, 墙国蛙蛤蛤, 内奸公贼+习近平, 自焚+活摘"
反对单位部门负责人独断专权,98,"兵变+北京出事, 我们要公义+保障私有产权, 中南海+政变, 集会抗议中心, 支持维吾尔人+抗议, 打压维吾尔人, 康师傅+全国政法, 结束一党执政, 新疆人都是小偷, 我的东突+你的西域, 天赋人权+勿忘六四, 肖合来提+自由亚洲电台, 倒行逆施+修宪, 全民直选国家领导人, 今天大新闻, 千古一帝+习近平, 还我薄书记+还我共同富路, 开放报禁+新闻自由, 新疆维族人+畜生, 登基+习近平, 皇帝+习近平, 兵变+中南海, 称帝+习近平, 厚天下+熙来, 马化腾+人渣, 婊子+马化腾, 习包子+登基, 习包子+终身执政, 伊扎布特+安拉, 自由万岁+新闻自由, 新疆人+统统杀光, 新疆人民+发起圣战, 周永康+江派, 维语部+自由亚洲电台, 习主席+辞职+提出, 玉皇大帝+习近平, 杀贪官平民怨, 复辟+习包子, 二七路百货大楼前+郑州, 一党专制, 被软禁+康师傅, 修宪+皇帝梦, 世界维吾尔, 提出+辞职+习总书记, 洗脑+维吾尔人, 薄熙来政治遗嘱, 新疆+种族灭绝, 周永康警变, 黄奇帆+倒戈, 暗杀+血债帮, 打到中共专制, 黑大爷+异教徒, 彭丽嫒+敛财, 乳透社, 为东突的解放事业做出贡献, 独裁+习近平, 法轮大法, 复辟+习近平, 追求民主自由+集会, 自由万岁+民主万岁, 贪污+彭丽嫒, 怨四的前运会, 暗杀+习近平, 维吾尔人失踪, 刑不上常委+王岐山, 康师傅+天线宝宝, 周永康+血债派, 维护司法独立, 称帝+修宪, 袁世凯+习包子, 薄熙来+一路走好, 终身执政+习近平, 习包子+独裁, 低劣种族+新疆, 杀人不眨眼+维族人, 袁世凯+习近平, 终身制+习近平, 内讧+中南海, 习近平+恢复帝制, 江泽民其人, 中共下台, 实行多党选举, 晓波值得我们的支持, 诛温贼+挺熙来, 致圣战战士, 卸磨杀驴+薄熙来, 德满江+薄情, 维吾尔民族独立事业, 新疆人团结起来+弄灭北京, 撸一串儿, 修宪+黄袍加身, 习包子+称帝, 习包子+恢复帝制, 终身执政+修宪, 千古一帝+习包子, 墙国蛙蛤蛤, 内奸公贼+习近平, 自焚+活摘"
建立工人自己的独立工会,98,"兵变+北京出事, 我们要公义+保障私有产权, 中南海+政变, 集会抗议中心, 支持维吾尔人+抗议, 打压维吾尔人, 康师傅+全国政法, 结束一党执政, 新疆人都是小偷, 我的东突+你的西域, 天赋人权+勿忘六四, 肖合来提+自由亚洲电台, 倒行逆施+修宪, 全民直选国家领导人, 今天大新闻, 千古一帝+习近平, 还我薄书记+还我共同富路, 开放报禁+新闻自由, 新疆维族人+畜生, 登基+习近平, 皇帝+习近平, 兵变+中南海, 称帝+习近平, 厚天下+熙来, 马化腾+人渣, 婊子+马化腾, 习包子+登基, 习包子+终身执政, 伊扎布特+安拉, 自由万岁+新闻自由, 新疆人+统统杀光, 新疆人民+发起圣战, 周永康+江派, 维语部+自由亚洲电台, 习主席+辞职+提出, 玉皇大帝+习近平, 杀贪官平民怨, 复辟+习包子, 二七路百货大楼前+郑州, 一党专制, 被软禁+康师傅, 修宪+皇帝梦, 世界维吾尔, 提出+辞职+习总书记, 洗脑+维吾尔人, 薄熙来政治遗嘱, 新疆+种族灭绝, 周永康警变, 黄奇帆+倒戈, 暗杀+血债帮, 打到中共专制, 黑大爷+异教徒, 彭丽嫒+敛财, 乳透社, 为东突的解放事业做出贡献, 独裁+习近平, 法轮大法, 复辟+习近平, 追求民主自由+集会, 自由万岁+民主万岁, 贪污+彭丽嫒, 怨四的前运会, 暗杀+习近平, 维吾尔人失踪, 刑不上常委+王岐山, 康师傅+天线宝宝, 周永康+血债派, 维护司法独立, 称帝+修宪, 袁世凯+习包子, 薄熙来+一路走好, 终身执政+习近平, 习包子+独裁, 低劣种族+新疆, 杀人不眨眼+维族人, 袁世凯+习近平, 终身制+习近平, 内讧+中南海, 习近平+恢复帝制, 江泽民其人, 中共下台, 实行多党选举, 晓波值得我们的支持, 诛温贼+挺熙来, 致圣战战士, 卸磨杀驴+薄熙来, 德满江+薄情, 维吾尔民族独立事业, 新疆人团结起来+弄灭北京, 撸一串儿, 修宪+黄袍加身, 习包子+称帝, 习包子+恢复帝制, 终身执政+修宪, 千古一帝+习包子, 墙国蛙蛤蛤, 内奸公贼+习近平, 自焚+活摘"
淘宝兼职,98,"兵变+北京出事, 我们要公义+保障私有产权, 中南海+政变, 集会抗议中心, 支持维吾尔人+抗议, 打压维吾尔人, 康师傅+全国政法, 结束一党执政, 新疆人都是小偷, 我的东突+你的西域, 天赋人权+勿忘六四, 肖合来提+自由亚洲电台, 倒行逆施+修宪, 全民直选国家领导人, 今天大新闻, 千古一帝+习近平, 还我薄书记+还我共同富路, 开放报禁+新闻自由, 新疆维族人+畜生, 登基+习近平, 皇帝+习近平, 兵变+中南海, 称帝+习近平, 厚天下+熙来, 马化腾+人渣, 婊子+马化腾, 习包子+登基, 习包子+终身执政, 伊扎布特+安拉, 自由万岁+新闻自由, 新疆人+统统杀光, 新疆人民+发起圣战, 周永康+江派, 维语部+自由亚洲电台, 习主席+辞职+提出, 玉皇大帝+习近平, 杀贪官平民怨, 复辟+习包子, 二七路百货大楼前+郑州, 一党专制, 被软禁+康师傅, 修宪+皇帝梦, 世界维吾尔, 提出+辞职+习总书记, 洗脑+维吾尔人, 薄熙来政治遗嘱, 新疆+种族灭绝, 周永康警变, 黄奇帆+倒戈, 暗杀+血债帮, 打到中共专制, 黑大爷+异教徒, 彭丽嫒+敛财, 乳透社, 为东突的解放事业做出贡献, 独裁+习近平, 法轮大法, 复辟+习近平, 追求民主自由+集会, 自由万岁+民主万岁, 贪污+彭丽嫒, 怨四的前运会, 暗杀+习近平, 维吾尔人失踪, 刑不上常委+王岐山, 康师傅+天线宝宝, 周永康+血债派, 维护司法独立, 称帝+修宪, 袁世凯+习包子, 薄熙来+一路走好, 终身执政+习近平, 习包子+独裁, 低劣种族+新疆, 杀人不眨眼+维族人, 袁世凯+习近平, 终身制+习近平, 内讧+中南海, 习近平+恢复帝制, 江泽民其人, 中共下台, 实行多党选举, 晓波值得我们的支持, 诛温贼+挺熙来, 致圣战战士, 卸磨杀驴+薄熙来, 德满江+薄情, 维吾尔民族独立事业, 新疆人团结起来+弄灭北京, 撸一串儿, 修宪+黄袍加身, 习包子+称帝, 习包子+恢复帝制, 终身执政+修宪, 千古一帝+习包子, 墙国蛙蛤蛤, 内奸公贼+习近平, 自焚+活摘"
反对大学生毕业等于失,99,"兵变+北京出事, 我们要公义+保障私有产权, 中南海+政变, 集会抗议中心, 支持维吾尔人+抗议, 打压维吾尔人, 康师傅+全国政法, 结束一党执政, 新疆人都是小偷, 我的东突+你的西域, 天赋人权+勿忘六四, 肖合来提+自由亚洲电台, 倒行逆施+修宪, 全民直选国家领导人, 今天大新闻, 千古一帝+习近平, 还我薄书记+还我共同富路, 开放报禁+新闻自由, 新疆维族人+畜生, 登基+习近平, 皇帝+习近平, 兵变+中南海, 称帝+习近平, 厚天下+熙来, 马化腾+人渣, 婊子+马化腾, 习包子+登基, 习包子+终身执政, 伊扎布特+安拉, 自由万岁+新闻自由, 新疆人+统统杀光, 新疆人民+发起圣战, 周永康+江派, 维语部+自由亚洲电台, 习主席+辞职+提出, 玉皇大帝+习近平, 杀贪官平民怨, 复辟+习包子, 二七路百货大楼前+郑州, 一党专制, 被软禁+康师傅, 修宪+皇帝梦, 世界维吾尔, 提出+辞职+习总书记, 洗脑+维吾尔人, 薄熙来政治遗嘱, 新疆+种族灭绝, 周永康警变, 黄奇帆+倒戈, 暗杀+血债帮, 打到中共专制, 黑大爷+异教徒, 彭丽嫒+敛财, 乳透社, 为东突的解放事业做出贡献, 独裁+习近平, 法轮大法, 复辟+习近平, 追求民主自由+集会, 自由万岁+民主万岁, 贪污+彭丽嫒, 怨四的前运会, 暗杀+习近平, 维吾尔人失踪, 刑不上常委+王岐山, 康师傅+天线宝宝, 周永康+血债派, 维护司法独立, 称帝+修宪, 袁世凯+习包子, 薄熙来+一路走好, 终身执政+习近平, 习包子+独裁, 低劣种族+新疆, 杀人不眨眼+维族人, 袁世凯+习近平, 终身制+习近平, 内讧+中南海, 习近平+恢复帝制, 江泽民其人, 中共下台, 实行多党选举, 晓波值得我们的支持, 诛温贼+挺熙来, 致圣战战士, 卸磨杀驴+薄熙来, 德满江+薄情, 天堂专门为封斋的人准备, 维吾尔民族独立事业, 新疆人团结起来+弄灭北京, 撸一串儿, 修宪+黄袍加身, 习包子+称帝, 习包子+恢复帝制, 终身执政+修宪, 千古一帝+习包子, 墙国蛙蛤蛤, 内奸公贼+习近平, 自焚+活摘"
刘士辉,122,"兵变+北京出事, 我们要公义+保障私有产权, 中南海+政变, 集会抗议中心, 支持维吾尔人+抗议, 打压维吾尔人, 康师傅+全国政法, 结束一党执政, 新疆人都是小偷, 我的东突+你的西域, 天赋人权+勿忘六四, 肖合来提+自由亚洲电台, 倒行逆施+修宪, 全民直选国家领导人, 今天大新闻, 千古一帝+习近平, 还我薄书记+还我共同富路, 开放报禁+新闻自由, 新疆维族人+畜生, 登基+习近平, 皇帝+习近平, 兵变+中南海, 称帝+习近平, 厚天下+熙来, 六四静思节, 马化腾+人渣, 婊子+马化腾, 习包子+登基, 习包子+终身执政, 伊扎布特+安拉, 自由万岁+新闻自由, 新疆人+统统杀光, 新疆人民+发起圣战, 周永康+江派, 维语部+自由亚洲电台, 习主席+辞职+提出, 玉皇大帝+习近平, 杀贪官平民怨, 复辟+习包子, 二七路百货大楼前+郑州, 一党专制, 被软禁+康师傅, 修宪+皇帝梦, 世界维吾尔, 提出+辞职+习总书记, 洗脑+维吾尔人, 薄熙来政治遗嘱, 新疆+种族灭绝, 周永康警变, 打到共产党, 黄奇帆+倒戈, 暗杀+血债帮, 打到中共专制, 黑大爷+异教徒, 彭丽嫒+敛财, 乳透社, 平反六四, 为东突的解放事业做出贡献, 独裁+习近平, 法轮大法, 复辟+习近平, 追求民主自由+集会, 自由万岁+民主万岁, 贪污+彭丽嫒, 怨四的前运会, 暗杀+习近平, 维吾尔人失踪, 刑不上常委+王岐山, 康师傅+天线宝宝, 周永康+血债派, 维护司法独立, 称帝+修宪, 袁世凯+习包子, 薄熙来+一路走好, 终身执政+习近平, 养老金分配不公, 习包子+独裁, 低劣种族+新疆, 杀人不眨眼+维族人, 袁世凯+习近平, 终身制+习近平, 内讧+中南海, 习近平+恢复帝制, 江泽民其人, 結束一黨專政, 反专制大游行, 不会颁发和平奖的奖章, 争自由反专制, 反对废除贪官死刑, 中共下台, 和平奖表示由衷的祝贺, 实行多党选举, 实现民主宪政, 废除特供, 晓波值得我们的支持, 法论大法, 清算特权, 诛温贼+挺熙来, 解酒中国, 致圣战战士, 薄熙来死亡, 卸磨杀驴+薄熙来, 薄熙来仕途, 德满江+薄情, 东突厥斯坦是我的祖国, 天堂专门为封斋的人准备, 就中国政府公布第三批恐怖嫌疑人名单谣言声明, 维吾尔民族独立事业, 互联网信息自由, 刘霞或其他亲属也不能前来, 新疆人团结起来+弄灭北京, 撸一串儿, 修宪+黄袍加身, 习包子+称帝, 薄熙来游行, 习包子+恢复帝制, 终身执政+修宪, 千古一帝+习包子, 平反薄熙来, 墙国蛙蛤蛤, 内奸公贼+习近平, 自焚+活摘"
