Date Tested,Keyword,Translation,# of Components,Language
2017-03-07,不透明的+军费+北京要瞒,Non-transparent + Military Spending + Beijing Tries to Hide,3,simplified Chinese
2017-03-07,不透明的+軍費+北京要瞞,Non-transparent + Military Spending + Beijing Tries to Hide,3,traditional Chinese
2017-03-07,制裁韩国+北京+显得无能,Sanction South Korea + Beijing + Appears Impotent,3,simplified Chinese
2017-03-07,制裁韓國+北京+顯得無能,Sanction South Korea + Beijing + Appears Impotent,3,traditional Chinese
2017-03-07,部署萨德+反对一个中国+抗议的套路,Deploy THAAD + Oppose One-China (Policy) + (Chinese) Patterns of Protest,3,simplified Chinese
2017-03-07,独立候选人+遭到打压+北京,Independent Candidates + Faced with Crackdown + Beijing,3,simplified Chinese
2017-03-08,疫苗安全+公民提案+呼吁提升+政府应当尽早,Safety of Vaccines + Citizen Proposal + Adocate Upgrading (safety) + Govt Should Soon,4,simplified Chinese
2017-03-08,中共当局拘捕+传唤骚扰+示威者,CCP Authorities Arrested + Summon and Harrass + Protesters,3,simplified Chinese
2017-03-08,屠杀藏人,Murder Tibetans,1,simplified Chinese
2017-03-08,掌握在中央政府+非常不民主+中央内定的人选,Controlled by Central Govt + Very Not Democratic + Pre-picked by Central (Govt),3,simplified Chinese
2017-03-08,掌握在中央政府+非常不民主+中央內定的人選,Controlled by Central Govt + Very Not Democratic + Pre-picked by Central (Govt),3,traditional Chinese
2017-03-10,鲍彤+习近平+政治上他要求的集权,Bao Tong + Xi Jinping + The Centralized Political Power He Demanded ,3,simplified Chinese
2017-03-10,人权状况+人权报告+西藏,Human Rights Status + Human Rights Report + Tibet,3,simplified Chinese
2017-03-10,人權狀況+人權報告+西藏,Human Rights Status + Human Rights Report + Tibet,3,traditional Chinese
2017-03-10,压制+中国政府+达赖喇嘛,Restrain + Chinese Government + Dalai Lama,3,simplified Chinese
2017-03-10,同床异梦+习近平+一身的权力+乏善可陈,Sleep in the same bed but dream different dreams + Xi Jinping + All the Power (He) Holds + Have Nothing Good to Report,4,simplified Chinese
2017-03-10,萨德+入韩标志东北亚+形成冷战式敌对,THAAD + Deployed in Korea Signals Northeast Asia + Forms Cold War-style Adversary,3,simplified Chinese
2017-03-10,抵制乐天+政府操纵+早上恨美国,boycott LOTTE + Government Manipulation + In the mornings (we) hate America,3,simplified Chinese
2017-03-10,抵制樂天+政府操縱+早上恨美國,boycott LOTTE + Government Manipulation + In the mornings (we) hate America,3,traditional Chinese
2017-03-10,血洗中国+反恐维稳+中国当局,Shed Blood in China + Anti-Teorrism and Stability Maintenance + Chinese Authorities,3,simplified Chinese
2017-03-10,血洗中國+反恐維穩+中國當局,Shed Blood in China + Anti-Teorrism and Stability Maintenance + Chinese Authorities,3,traditional Chinese
2017-03-13,网络长城+屏蔽了政治敏感+全面解禁,Interent Great (Fire) Wall + Block Politically Sensitive + Lift the ban overall,3,simplified Chinese
2017-03-13,網絡長城+屏蔽了政治敏感+全面解禁,Interent Great (Fire) Wall + Block Politically Sensitive + Lift the ban overall,3,traditional Chinese
2017-03-13,天朝主义+中国专制极权+政治压力,Celestial Dynasty + China's Autocratic Totalitarianism + Political Pressure,3,simplified Chinese
2017-03-13,天朝主義+中國專制極權+政治壓力,Celestial Dynasty + China's Autocratic Totalitarianism + Political Pressure,3,traditional Chinese
2017-03-13,李平+香港新闻自由+天朝主义,Li Ping + Hong Kong's Press Freedom + Celestial Dynasty,3,simplified Chinese
2017-03-13,李平+香港新聞自由+天朝主義,Li Ping + Hong Kong's Press Freedom + Celestial Dynasty,3,traditional Chinese
2017-03-13,裙带资本+邓小平经济+专制模式,Crony Capital(ism) + Deng Xiaoping Economy + Authoritarian Model,3,simplified Chinese
2017-03-13,裙帶資本+鄧小平經濟+專制模式,Crony Capital(ism) + Deng Xiaoping Economy + Authoritarian Model,3,traditional Chinese
2017-03-13,首尔威胁+中共的报复+本来面目,Made Threats in Soeul + CCP's Retaliation + (Revealed) True Color,3,simplified Chinese
2017-03-13,做着中国梦+净捡软的捏+祖国让我恨谁,"Having ""Chinese Dream"" + Pick off the weak members of the herd + (I'd hate whomever that) My Motherland Makes Me Hate",3,simplified Chinese
2017-03-13,既得利益者+异议人士+两会拍手+中共,People With Vested Interest + Dissident + Clap for Two Sessions + CCP,4,simplified Chinese
2017-03-13,既得利益者+異議人士+兩會拍手+中共,People With Vested Interest + Dissident + Clap for Two Sessions + CCP,4,traditional Chinese
2017-03-13,李克强+公开信,Li Keqiang + Open Letter,2,simplified Chinese
2017-03-13,李克強+公開信,Li Keqiang + Open Letter,2,traditional Chinese
2017-03-13,梁振英的名牌+握手寒暄+香港民主派,Leung Chun-ying's Name Tag + Handshake And Greetings (With Xi Jinping) + Hong Kong Demoncrats,3,simplified Chinese
2017-03-13,两会的气氛+薄熙来倒台+对中共而言,Atmosphere of Two Sessions + Bo Xilai's Downfall + To CCP,3,traditional Chinese
2017-03-13,薄熙来路线+习近平+区别於邓江胡,"Bo Xilai's Route + Xi Jinping + Different from Deng (Xiaoping), Jiang (Zemin) and Hu (Jintao)",3,simplified Chinese
2017-03-13,薄熙來路線+習近平+區別於鄧江胡,"Bo Xilai's Route + Xi Jinping + Different from Deng (Xiaoping), Jiang (Zemin) and Hu (Jintao)",3,traditional Chinese
2017-03-13,中共的黑幕+政治独裁+雾霾和雷阳案,CCP's skeleton in the closet + Political Autocracy + Smog and The Case of Lei Yang,3,simplified Chinese
2017-03-13,中共的黑幕+政治獨裁+霧霾和雷陽案,CCP's skeleton in the closet + Political Autocracy + Smog and The Case of Lei Yang,3,traditional Chinese
2017-03-13,习近平+崇毛情结+搏取上位+高层内斗,Xi Jinping + Complex of Worshipping Mao (Zedong) + Climb Up Career Ladder  + Power Struggle within the Leadership,4,simplified Chinese
2017-03-13,習近平+崇毛情結+搏取上位+高層內鬥,Xi Jinping + Complex of Worshipping Mao (Zedong) + Climb Up Career Ladder  + Power Struggle within the Leadership,4,traditional Chinese
2017-03-13,薄熙来不垮台+保住身家+权力分配+习近平,Bo Xilai Weren't Overthrown + Keep their wealth + Power Distribution + Xi Jinping,4,simplified Chinese
2017-03-13,中共+权力斗争+政变,CCP + Power Struggle + Coup,3,simplified Chinese
2017-03-13,薄熙来倒台+习近平时代+搞权力斗争,Bo Xilai's downfall + Xi Jingping's Era + Power Play,3,simplified Chinese
2017-03-13,习薄斗争+尤其毛左派+遭到报复,Xi (Jinping) Bo (Xilai)'s Fight + Especially Mao Leftist + Face Retaliation,3,simplified Chinese
2017-03-13,集体自卫+中共一直利用+军事化辩护,Collective Self-Defense + CCP Has Been Exploiting + Defend Its Militarization (in South China Sea),3,simplified Chinese
2017-03-13,中共御用网络+习近平+袒护金家王朝,CCP's Special Internet (Commentator) + Xi Jinping + Shield the Kim Dynasty,3,simplified Chinese
2017-03-13,中国官方媒体+号召民众+抵制韩货+民众报复,China's State Media + Call for pelple + To Boycott Korean goods + Retaliated by people,4,simplified Chinese
2017-03-13,卜睿哲+习近平选择+朴槿惠等了很久,Richard Bush III (Said) + Xi Jinping Chose to + Let Park Geun-hye Wait Long,3,simplified Chinese
2017-03-13,卜睿哲+习近平的态度+形成鲜明对比,Richard Bush III (Said) + Xi Jinping's Attitude + Forms Sharp Contrast ,3,simplified Chinese
2017-03-14,毒害学生+培育民族仇恨+洗脑教育,Poison Students + Cultivate Nationalistic Hatred + Brainwashing Education,3,simplified Chinese
2017-03-14,毒害學生+培育民族仇恨+洗腦教育,Poison Students + Cultivate Nationalistic Hatred + Brainwashing Education,3,traditional Chinese
2017-03-14,郭文贵+爆料,Guo Wengui + Expose ,2,simplified Chinese
2017-03-14,郭文貴+爆料,Guo Wengui + Expose ,2,traditional Chinese
2017-03-14,郭文贵+专访,Guo Wengui + Interview ,2,simplified Chinese
2017-03-14,郭文贵+电视,Guo Wengui + Television ,2,simplified Chinese
2017-03-14,郭文贵+习近平,Guo Wengui + Xi Jinping,2,simplified Chinese
2017-03-14,郭文贵+吴征,Guo Wengui + Wu Zheng,2,simplified Chinese
2017-03-14,明镜+郭文贵,Mingjing (News) + Guo Wengui,2,simplified Chinese
2017-03-14,郭文贵+贺国强,Guo Wengui + He Guoqiang,2,simplified Chinese
2017-03-14,郭文貴+賀國強,Guo Wengui + He Guoqiang,2,traditional Chinese
2017-03-14,郭文贵+李源潮,Guo Wengui + Li Yuanchao,2,simplified Chinese
2017-03-14,郭文貴+李源潮,Guo Wengui + Li Yuanchao,2,traditional Chinese
2017-03-14,郭文贵+令计划,Guo Wengui + Ling Jihua,2,simplified Chinese
2017-03-14,郭文贵+中共,Guo Wengui + CCP,2,simplified Chinese
2017-03-14,两会是一场政治秀+政治斗争+习近平,Two Sessions Is A Political Show + Potical Struggle + Xi Jinping,3,simplified Chinese
2017-03-14,兩會是一場政治秀+政治鬥爭+習近平,Two Sessions Is A Political Show + Potical Struggle + Xi Jinping,3,traditional Chinese
2017-03-14,习近平+知识界的压制太狠+恶劣印象,Xi Jinping + Harsh Cracdown on Aacademia + Bad Impression,3,simplified Chinese
2017-03-14,習近平+知識界的壓制太狠+惡劣印象,Xi Jinping + Harsh Cracdown on Aacademia + Bad Impression,3,traditional Chinese
2017-03-14,习近平+压制言论+自己的政权带来巨大威胁,Xi Jinping + Suppress Expression + Bring Hugh Threats to His Own Regime,3,simplified Chinese
2017-03-14,習近平+壓制言論+自己的政權帶來巨大威脅,Xi Jinping + Suppress Expression + Bring Hugh Threats to His Own Regime,3,traditional Chinese
2017-03-14,李克強+辭職,Li Keqiang + Resign,2,traditional Chinese
2017-03-15,习近平+巩固自己的权力+技术官僚总理,Xi Jinping + Consolidate His Own Power + Technocrat Primer ,3,simplified Chinese
2017-03-15,習近平+鞏固自己的權力+技術官僚總理,Xi Jinping + Consolidate His Own Power + Technocrat Primer ,3,traditional Chinese
2017-03-15,习近平+按照自己的设想+没有实权的虚位,Xi Jinping + Follow his own visions + A Position without Real Power,3,simplified Chinese
2017-03-15,習近平+按照自己的設想+沒有實權的虛位,Xi Jinping + Follow his own visions + A Position without Real Power,3,traditional Chinese
2017-03-15,接替李克强+习近平的亲信+中共,Replace Li Keqiang + Xi Jinping's Trusted Aide + CCP,3,simplified Chinese
2017-03-15,接替李克強+習近平的親信+中共,Replace Li Keqiang + Xi Jinping's Trusted Aide + CCP,3,traditional Chinese
2017-03-20,没有制定民法典+德国之声+从摇篮到坟墓,Hasn't Made Civil Code + Desutsche Welle + From Cradles to Grave ,3,simplified Chinese
2017-03-20,沒有制定民法典+德國之聲+從搖籃到墳墓,Hasn't Made Civil Code + Desutsche Welle + From Cradles to Grave ,3,traditional Chinese
2017-03-20,批评指向+一把手习近平+雏形基本,Criticism is directed at + Head (or the Party) Xi Jinping + Embroynic Form (of Economic reforms) ,3,simplified Chinese
2017-03-20,批評指向+一把手習近平+雛形基本,Criticism is directed at + Head (or the Party) Xi Jinping + Embroynic Form (of Economic reforms) ,3,traditional Chinese
2017-03-20,迅速倒退+习近平难保+政权还能坐得稳,Go Backwards Quickly + Xi Jinping cannot guarantee + Regime is stable (no more),3,simplified Chinese
2017-03-20,德国之声+要求北京对朝鲜+中国大为不满,Deutsche Welle + (Washington) Demands Beijing to (Curb) North Korea + China Is Discontent,3,simplified Chinese
2017-03-20,德國之聲+要求北京對朝鮮+中國大爲不滿,Deutsche Welle + (Washington) Demands Beijing to (Curb) North Korea + China Is Discontent,3,traditional Chinese
2017-03-20,北京试图在台湾+制造混乱+共谍渗透国防,Beijing Tries to In Taiwan + Create Chaos + Communist Spy Infiltrates National Defence ,3,simplified Chinese
2017-03-20,中共党魁+江泽民,CCP Party Leader + Jiang Zemin,2,simplified Chinese
2017-03-27,习特勒 ,Xitler,1,simplified Chinese
2017-03-27,两会+习近平+政治斗争 ,Two Sessions + Xi Jinping + Politial Struggle,3,simplified Chinese
2017-03-27,口头上谈改革+紧紧抓住权力+习近平,Talked about Reform + Grips on Power + Xi Jinping,3,simplified Chinese
2017-03-27,周强+习近平+团派 ,Zhou Qiang + Xi Jinping + Tuan Pai,3,simplified Chinese
2017-03-27,逃离中国+经济衰退+最大疑问+习近平,Flee China + Economic Slowdown + biggest questions + Xi Jinping,4,simplified Chinese
2017-03-27,郭+贺国强,Guo (Wengui? Shuqing?) + He Guoqiang,2,simplified Chinese
2017-03-27,江绵恒+纪委,Jiang Mianheng + Party Discipline and Inspection Committee,2,simplified Chinese
2017-03-27,习家军+大权独揽+十九大,Xi's Army + Hold All Power + 19th Party Congress,3,simplified Chinese
2017-03-27,郭+李源潮,Guo (Wengui?) + Li Yuanchao,2,simplified Chinese
2017-03-27,中間道路+達賴喇嘛,Middle Way + Dalai Lama,2,traditional Chinese
2017-03-27,習特勒 ,Xitler,1,traditional Chinese
2017-03-27,杀习大大,Kill Uncle Xi,1,simplified Chinese
2017-03-27,殺習大大 ,Kill Uncle Xi,1,traditional Chinese
2017-03-27,十九大+王岐山+总理 ,19th Party Congress + Wang Qishan + Premier,3,simplified Chinese
2017-03-27,曾庆红+江系+清理,Zeng Qinghong + Jiang Clinque + Clean Up ,3,simplified Chinese
2017-03-27,总理+公开信,Premier + Open Letter,2,simplified Chinese
2017-03-27,抓捕+江澤民,Arrest + Jiang Zemin,2,simplified Chinese
2017-03-27,趙紫陽+鄧小平+鎮壓學生,Zhao Ziyang + Deng Xiaoping + Suppress Student,3,traditional Chinese
2017-03-27,被抓+曾慶紅,Arrested + Zeng Qinghong,2,traditional Chinese
2017-03-27,總理+公開信,Premier + Open Letter,2,traditional Chinese
2017-03-27,王宇律师+撬门,Lawyer Wang Yu + Break In ,2,simplified Chinese
2017-03-27,团派+十九大+江派 ,Tuan Pai + 19th Party Congress + Jiang Clinque,3,simplified Chinese
2017-03-27,དུས་དབང+གོང་ས་༸ ,,2,Tibetan
2017-03-27,薄熙来不垮+政敌+李克强,Bo Xilai Doesn't Fall + Political Enemy + Li Keqiang,3,simplified Chinese
2017-03-27,支持香港+占领中环 ,Support Hong Kong + Occupy Central,2,simplified Chinese
2017-03-28,江派+上海帮+太子党 ,Jiang Clinque + Shanghai Clique + Princelings,3,simplified Chinese
2017-03-28,政治斗争+习包子,Political Struggle + Xi Bun,2,simplified Chinese
2017-03-28,郭+賀國強 ,Guo + He Guoqiang,2,traditional Chinese
2017-03-28,被删除+江绵恒+谭晶,Deleted + Jiang Mianheng + Tan Jing,3,simplified Chinese
2017-03-28,郭+明镜,Guo (Wengui) + Ming Jing (News),2,simplified Chinese
2017-03-28,温家宝+政变+江派 ,Wen Jiabao + Coup + Jiang Clinque,3,simplified Chinese
2017-03-28,薄熙来+李克强+政敌 ,Bo Xilai + Li Keqiang + Political Enemy ,3,simplified Chinese
2017-03-28,胡锦涛+权力+被架空,Hu Jintao + Power + fallen into the hands of others,3,simplified Chinese
2017-03-28,江澤民+迫害+控告,Jiang Zemin + Torture + Accuse ,3,traditional Chinese
2017-03-28,学潮+镇压学生+赵紫阳,Student Movement + Crackdown on Students + Zhao Ziyang,3,simplified Chinese
2017-03-28,毛泽东+大权独揽+屠杀,Mao Zedong + All Power In Hands + Murder,3,simplified Chinese
2017-03-28,李鹏+大老虎+温家宝,Li Peng + Big Tiger + Wen Jiabao,3,simplified Chinese
2017-03-28,赵紫阳+披露+邓小平 ,Zhao Ziyang + Expose + Deng Xiaoping,3,simplified Chinese
2017-03-28,戒严部队+天安门广场+学潮 ,Martial Law Troup + Tiananmen Square + Student Movement,3,simplified Chinese
2017-03-28,坦克+王维林+天安门 ,Tank + Wang Weilin + Tiananmen,3,simplified Chinese
2017-03-28,令计划+调查+芮成钢,Ling Jihua + Investigate + Rui Chenggang,3,simplified Chinese
2017-03-28,文革+红军+镇压+德国之声,Culture Revolution + Red Army + Crackdown  + Deutsche Welle,4,simplified Chinese
2017-03-28,江家帮+上海帮+太子党,Jiang Family Clique + Shanghai Clique + Princelings,3,simplified Chinese
2017-03-28,戒严+赵紫阳+遭到+软禁 ,Martial Law + Zhao Ziyang + Faced Wtih + House Arrest,4,simplified Chinese
2017-03-28,人權律師+酷刑+打壓+中國政府,Human Rights Lawyer + Torture + Crackdown + Chinese Govt,4,traditional Chinese
2017-03-28,习包子+铜锣湾书店 ,Xi Bun + Causeway Bay Bookstore,2,simplified Chinese
2017-03-28,引咎辭職+敦請周強院長+谨以公民身份,Resign for wrongdoings + Urge Chief Justice Zhou Qiang + As A Citizen,3,traditional Chinese
2017-03-28,中共當局+政治犯+藏人,CCP Authorities + Political Criminal + Tibetan,3,traditional Chinese
2017-03-28,李源潮+上海幫+團派,Li Yuanchao + Shanghai Clinque + Tuan Pai ,3,traditional Chinese
2017-03-28,李源潮+上海帮+团派,Li Yuanchao + Shanghai Clinque + Tuan Pai ,3,simplified Chinese
2017-03-28,胡錦濤+江派,Hu Jintao + Jiang Clinque,2,traditional Chinese
2017-03-28,胡锦涛+江派,Hu Jintao + Jiang Clinque,2,simplified Chinese
2017-03-28,李克强+十九大+习家军,Li Keqiang + 19th Party Congress + Xi's Army ,3,simplified Chinese
2017-03-28,王岐山+總理+十九大,Wang Qishan + Premier + 19th Party Congress,3,traditional Chinese
2017-03-28,胡锦涛+曾庆红+被抓,Hu JIntao + Zeng Qinghong + Arrested,3,simplified Chinese
2017-03-28,胡錦濤+曾慶紅+被抓,Hu JIntao + Zeng Qinghong + Arrested,3,traditional Chinese
2017-03-28,黄奇帆+国务院秘书长+联合早报,Huang Qifan + State Council Secretary + Lianhe Zaobao,3,simplified Chinese
2017-03-28,胡春华+失势+团派,Hu Chunhua + Lose Power + Tuan Pai,3,simplified Chinese
2017-03-28,喊冤+周永康+政变 ,Express Mistreatment + Zhou Yongkang + coup,3,simplified Chinese
2017-03-28,權力+被架空+胡錦濤,Power + Falled into Others' Hands + Hu Jintao,3,traditional Chinese
2017-03-28,曾庆红+令计划+江派,Zeng Qinghong + Ling Jihua + Jiang Clinque,3,simplified Chinese
2017-03-28,屠杀+藏人 ,Murder + Tibetan,2,simplified Chinese
2017-03-28,曾慶紅+中共權鬥,Zeng Qinghong + CCP Power Struggle,2,traditional Chinese
2017-03-28,曾庆红+中共权斗,Zeng Qinghong + CCP Power Struggle,2,simplified Chinese
2017-03-29,包子+中国梦+大撒币,(Xi) Bun + China Dream + Stupidity ,3,simplified Chinese
2017-03-29,高瑜+普世价值+七不讲+泄露,Gao Yu + Universal Values + Seven Don'ts + Leak,4,simplified Chinese
2017-03-29,团派+落马+胡锦涛,Tuan Pai + Sacked + Hu Jintao,3,simplified Chinese
2017-03-29,推翻共产党+颜色革命+港独,Overthrown CPC + Color Revolution + HK Independence,3,simplified Chinese
2017-03-29,包子+宽衣+大撒币,Xi (Bun) + Loosen Clothes + Stupidity ,3,simplified Chinese
2017-03-29,迫害+洗脑+邪党+暴政,Witch Hunt + Brainwash + Evil Party + Totalitarian,4,simplified Chinese
2017-03-29,七上八下+中共+十九大,7(0) Up & 8(0) Down + CPC + 19th Party Congress,3,simplified Chinese
2017-03-29,中共+1989+屠杀+专制,CPC + 1989 + Murder + Autocracy,4,simplified Chinese
2017-03-29,གོང་ས+དུས་དབང ,,2,Tibetan
2017-03-29,李鹏+天安门+戒严+绝食,Li Peng + Tiananmen + Martial Law + Hunger Strike,4,simplified Chinese
2017-03-29,中共当局+迫害+秦永敏 ,CCP Authorities + With Hunt + Qin Yongmin,3,simplified Chinese
2017-03-29,屠杀+中共专制+1989,Murder + CCP Authoritarian (regime) + 1989,3,simplified Chinese
2017-03-29,中共+一党独裁+洗脑 ,CCP + One-Party Autocracy + Brainwash,3,simplified Chinese
2017-03-29,云南省长+宽衣+镇越铁路 ,Leader of Yunnan Province + Loosen your clothes + Zhen Yue Railway,3,simplified Chinese
2017-03-29,王岐山+江系+曾庆红+调查+架空,Wang Qishan + Jiang Clique + Zeng Qinghong + Investigate + Take Away Power,5,simplified Chinese
2017-03-29,江派+太子黨+團派 ,Jiang Clique + Princeling + Tuan Pai,3,traditional Chinese
2017-03-29,打压+人权律师+中国政府+酷刑,Crackdown + Human Rights Lawyers + Chinese Govt + Torture,4,simplified Chinese
2017-03-29,打壓+人權律師+中國政府+酷刑,Crackdown + Human Rights Lawyers + Chinese Govt + Torture,4,traditional Chinese
2017-03-30,中间道路+达赖喇嘛 ,Middle Way + Dalai Lama,2,simplified Chinese
2017-03-30,中間道路+達賴喇嘛 ,Middle Way + Dalai Lama,2,traditional Chinese
2017-03-30,王岐山留+七上八下+江系,Wang Qishan Stays + 7(0) Up 8(0) Down + Jiang Clique,3,simplified Chinese
2017-03-30,爆料+郭,Expose + Guo (Wengui),2,simplified Chinese
2017-03-30,薄熙来+江派+清洗 ,Bo Xilai + Jiang Clique + Cleanse ,3,simplified Chinese
2017-03-30,Xi+Jianhua+corruption+abducted,,4,English
2017-03-30,镇压学生+军队+李鹏,Crackdown on Student + Army + Li Peng,3,simplified Chinese
2017-03-30,太子黨+江澤民+暗殺,Princeling + Jiang Zemin + Assassinate ,3,traditional Chinese
2017-03-30,政敌+王岐山+取代李克强,Political Enemy + Wang Qishan + Replace Li Keqiang,3,simplified Chinese
2017-03-30,周永康+亲信+江泽民+反腐,Zhou Yongkang + Trusted Aide + Jiang Zemin + Anti-corruption,4,simplified Chinese
2017-03-30,天安门广场+绝食+赵紫阳+戒严,Tiananmen Square + Hunger Strike + Zhao Ziyang + Martial Law,4,simplified Chinese
2017-03-30,港独+颜色革命+推翻共产党,HK Independence + Color Revolution + Overthrow CPC,3,simplified Chinese
2017-03-30,强迫性的残害+中国政府+节育器,Forced Torture + Chinese Govt + IUD,3,simplified Chinese
2017-03-30,令计划+亲信+胡锦涛,Ling Jihua + Trusted Aide + Hu Jintao ,3,simplified Chinese
2017-03-30,高层公开+习包子+斗争,High-level leadership publicize + Xi Bun + Fight,3,simplified Chinese
2017-03-30,团派+江系+邓小平,Tuan Pai + Jiang Clique + Deng Xiaoping,3,simplified Chinese
2017-03-30,下台+张德江+清洗+江派 ,Resign + Zhang Dejiang + Cleanse + Jiang Clique,4,simplified Chinese
2017-03-30,洗脑+89民运+独裁统治 ,Brainwash + 89 Democracy Movement + Autoritarianism,3,simplified Chinese
2017-03-30,温家宝家族财富+中共高层,Wen Jiabao's family wealth + CCP High-lever Leader,2,simplified Chinese
2017-03-30,团派+李源潮+太子党 ,Tuan Pai + Li Yuanchao + Princeling,3,simplified Chinese
2017-03-30,政治斗争+令计划+中共高层,Political Fight + Ling Jihua + CPC High-level Leader,3,simplified Chinese
2017-03-30,习家军+红二代+王建平,Xi's Army + Second Red Generation + Wang Jianping,3,simplified Chinese
2017-03-30,習家軍+紅二代+王建平,Xi's Army + Second Red Generation + Wang Jianping,3,traditional Chinese
2017-03-30,周强下台+法学界人士+联名要求,Zhou Qiang Resigns + Law Professional + Co-signatory ,3,simplified Chinese
2017-03-30,牺牲品+权斗+中共高层 ,Sacrifice + Power Struggle + CPC High-level Leader,3,simplified Chinese
2017-03-30,中共+武力镇压+1989年 ,CPC + Military crackdown + 1989 Year,3,simplified Chinese
2017-03-30,破灭中共,Destory CPC,1,simplified Chinese
2017-03-30,习李+内斗+曝光,Xi (Jinping) Li (Keqiang) + Inner Struggle + Expose,3,simplified Chinese
2017-03-30,赵紫阳+镇压学生+邓小平,Zhao Ziyang + Crackdown on Students + Deng Xiaoping,3,simplified Chinese
2017-03-30,趙紫陽+鎮壓學生+鄧小平,Zhao Ziyang + Crackdown on Students + Deng Xiaoping,3,traditional Chinese
2017-03-31,专制独裁+毛粉+毛泽东发动 ,Authoritarian + Mao's Follower + Mao Zedong Launched,3,simplified Chinese
2017-03-31,专制独裁+新闻自由+毛泽东 ,Authoritarian + Freedom of Press + Mao Zedong,3,simplified Chinese
2017-03-31,政变+大老虎+江泽民 ,Coup + Big Tiger + Jiang Zemin,3,simplified Chinese
2017-03-31,亲信+江系+江泽民,Trusted Aide + Jiang Clique + Jiang Zemin,3,simplified Chinese
2017-03-31,梁小军+刘晓波+煽动颠覆,Liang Xiaojun + Liu Xiaobo + Incite Subversion,3,simplified Chinese
2017-03-31,批评政府+梁小军+权平,Criticize Govt + Liang Xiaojun + Kwon Pyong,3,simplified Chinese
2017-03-31,共产党腐败,CPC Corruption,1,simplified Chinese
2017-03-31,退团+退队+退党,Quit the League + Quit The Young Pioneers + Quit the Party,3,simplified Chinese
2017-03-31,团派+红二代+曾庆红,Tuanpai + Second Red Generation + Zeng Qinghong,3,simplified Chinese
2017-03-31,1989年+镇压学生,1989 Year + Crackdown on Student,2,simplified Chinese
2017-03-31,文革+德国之声+镇压,Culture Revolution + Deustche Welle + Crackdown,3,simplified Chinese
2017-03-31,贪腐+李源潮+团派,Corruption + Li Yuanchao + Tuan Pai,3,simplified Chinese
2017-03-31,疯狂维稳+剥夺+体制外,Crazily Maintain Stability + Strip off + Outside the system,3,simplified Chinese
2017-03-31,郭文贵+家族,Guo Wengui + Family ,2,simplified Chinese